Year,MDB,Region,Industry,Area_watered,L_meta,Volume_applied,W_meta,Tree_br,Tree_nbr,K_Almonds,K_meta
2016,nMDB,QLD Border Rivers,Cotton,9398,1,79434,1,NA,NA,NA,NA
2017,nMDB,QLD Border Rivers,Cotton,39886,1,344219,1,NA,NA,NA,NA
2018,nMDB,QLD Border Rivers,Cotton,38490,1,332369,1,NA,NA,NA,NA
2019,nMDB,QLD Border Rivers,Cotton,8144,2,67416,2,NA,NA,NA,NA
2020,nMDB,QLD Border Rivers,Cotton,1179,2,7874,2,NA,NA,NA,NA
2006,nMDB,QLD Border Rivers,Fruit,NA,6,NA,6,NA,NA,NA,NA
2007,nMDB,QLD Border Rivers,Fruit,NA,6,NA,6,NA,NA,NA,NA
2008,nMDB,QLD Border Rivers,Fruit,NA,6,NA,6,NA,NA,NA,NA
2009,nMDB,QLD Border Rivers,Fruit,NA,6,NA,6,NA,NA,NA,NA
2010,nMDB,QLD Border Rivers,Fruit,NA,6,NA,6,NA,NA,NA,NA
2011,nMDB,QLD Border Rivers,Fruit,1847,1,2465,1,NA,NA,NA,NA
2012,nMDB,QLD Border Rivers,Fruit,1647,1,1929,1,NA,NA,NA,NA
2013,nMDB,QLD Border Rivers,Fruit,1837,1,3792,1,NA,NA,NA,NA
2014,nMDB,QLD Border Rivers,Fruit,1630,1,4888,1,NA,NA,NA,NA
2015,nMDB,QLD Border Rivers,Fruit,1618,1,3293,1,NA,NA,NA,NA
2016,nMDB,QLD Border Rivers,Fruit,1873,1,5230,1,NA,NA,NA,NA
2017,nMDB,QLD Border Rivers,Fruit,1679,1,4401,1,NA,NA,NA,NA
2018,nMDB,QLD Border Rivers,Fruit,1785,1,4002,1,NA,NA,NA,NA
2019,nMDB,QLD Border Rivers,Fruit,NA,6,NA,6,NA,NA,NA,NA
2020,nMDB,QLD Border Rivers,Fruit,NA,6,NA,6,NA,NA,NA,NA
2006,nMDB,QLD Border Rivers,Grapevines,268,2,538,2,NA,NA,NA,NA
2007,nMDB,QLD Border Rivers,Grapevines,268,2,415,2,NA,NA,NA,NA
2008,nMDB,QLD Border Rivers,Grapevines,NA,6,NA,6,NA,NA,NA,NA
2009,nMDB,QLD Border Rivers,Grapevines,236,2,988,2,NA,NA,NA,NA
2010,nMDB,QLD Border Rivers,Grapevines,157,2,448,2,NA,NA,NA,NA
2011,nMDB,QLD Border Rivers,Grapevines,259,1,480,1,NA,NA,NA,NA
2012,nMDB,QLD Border Rivers,Grapevines,99,1,127,1,NA,NA,NA,NA
2013,nMDB,QLD Border Rivers,Grapevines,180,1,402,1,NA,NA,NA,NA
2014,nMDB,QLD Border Rivers,Grapevines,168,1,364,1,NA,NA,NA,NA
2015,nMDB,QLD Border Rivers,Grapevines,178,1,138,1,NA,NA,NA,NA
2016,nMDB,QLD Border Rivers,Grapevines,56,1,22,1,NA,NA,NA,NA
2017,nMDB,QLD Border Rivers,Grapevines,38,1,108,1,NA,NA,NA,NA
2018,nMDB,QLD Border Rivers,Grapevines,85,1,136,1,NA,NA,NA,NA
2019,nMDB,QLD Border Rivers,Grapevines,169,2,363,2,NA,NA,NA,NA
2020,nMDB,QLD Border Rivers,Grapevines,244,2,673,2,NA,NA,NA,NA
2006,nMDB,QLD Border Rivers,Pastures - Grazing,2045,2,5649,2,NA,NA,NA,NA
2007,nMDB,QLD Border Rivers,Pastures - Grazing,511,2,4159,2,NA,NA,NA,NA
2008,nMDB,QLD Border Rivers,Pastures - Grazing,2242,2,6269,2,NA,NA,NA,NA
2009,nMDB,QLD Border Rivers,Pastures - Grazing,NA,6,NA,6,NA,NA,NA,NA
2010,nMDB,QLD Border Rivers,Pastures - Grazing,2149,2,5090,2,NA,NA,NA,NA
2011,nMDB,QLD Border Rivers,Pastures - Grazing,2494,1,5704,1,NA,NA,NA,NA
2012,nMDB,QLD Border Rivers,Pastures - Grazing,1752,1,3290,1,NA,NA,NA,NA
2013,nMDB,QLD Border Rivers,Pastures - Grazing,4315,1,8843,1,NA,NA,NA,NA
2014,nMDB,QLD Border Rivers,Pastures - Grazing,1845,1,5570,1,NA,NA,NA,NA
2015,nMDB,QLD Border Rivers,Pastures - Grazing,1236,2,3019,2,NA,NA,NA,NA
2016,nMDB,QLD Border Rivers,Pastures - Grazing,603,1,1158,1,NA,NA,NA,NA
2017,nMDB,QLD Border Rivers,Pastures - Grazing,4073,2,9243,2,NA,NA,NA,NA
2018,nMDB,QLD Border Rivers,Pastures - Grazing,182,2,811,2,NA,NA,NA,NA
2019,nMDB,QLD Border Rivers,Pastures - Grazing,415,2,490,2,NA,NA,NA,NA
2020,nMDB,QLD Border Rivers,Pastures - Grazing,187,2,579,2,NA,NA,NA,NA
2006,nMDB,QLD Border Rivers,Pastures - Hay,3245,2,9439,2,NA,NA,NA,NA
2007,nMDB,QLD Border Rivers,Pastures - Hay,1623,2,8480,2,NA,NA,NA,NA
2008,nMDB,QLD Border Rivers,Pastures - Hay,NA,6,6282,2,NA,NA,NA,NA
2009,nMDB,QLD Border Rivers,Pastures - Hay,1142,2,3491,2,NA,NA,NA,NA
2010,nMDB,QLD Border Rivers,Pastures - Hay,1522,2,NA,6,NA,NA,NA,NA
2011,nMDB,QLD Border Rivers,Pastures - Hay,2503,1,5626,1,NA,NA,NA,NA
2012,nMDB,QLD Border Rivers,Pastures - Hay,755,1,2329,1,NA,NA,NA,NA
2013,nMDB,QLD Border Rivers,Pastures - Hay,1380,1,4217,1,NA,NA,NA,NA
2014,nMDB,QLD Border Rivers,Pastures - Hay,3748,1,17951,1,NA,NA,NA,NA
2015,nMDB,QLD Border Rivers,Pastures - Hay,1741,1,6427,1,NA,NA,NA,NA
2016,nMDB,QLD Border Rivers,Pastures - Hay,3313,1,10965,1,NA,NA,NA,NA
2017,nMDB,QLD Border Rivers,Pastures - Hay,938,1,2823,1,NA,NA,NA,NA
2018,nMDB,QLD Border Rivers,Pastures - Hay,421,1,2352,1,NA,NA,NA,NA
2019,nMDB,QLD Border Rivers,Pastures - Hay,939,2,3993,2,NA,NA,NA,NA
2020,nMDB,QLD Border Rivers,Pastures - Hay,1662,2,7418,2,NA,NA,NA,NA
2006,nMDB,QLD Border Rivers,Rice,NA,6,NA,6,NA,NA,NA,NA
2007,nMDB,QLD Border Rivers,Rice,0,2,0,2,NA,NA,NA,NA
2008,nMDB,QLD Border Rivers,Rice,0,2,0,2,NA,NA,NA,NA
2009,nMDB,QLD Border Rivers,Rice,0,2,0,2,NA,NA,NA,NA
2010,nMDB,QLD Border Rivers,Rice,0,2,0,2,NA,NA,NA,NA
2011,nMDB,QLD Border Rivers,Rice,NA,6,NA,6,NA,NA,NA,NA
2012,nMDB,QLD Border Rivers,Rice,80,1,400,1,NA,NA,NA,NA
2013,nMDB,QLD Border Rivers,Rice,80,1,228,1,NA,NA,NA,NA
2014,nMDB,QLD Border Rivers,Rice,NA,6,NA,6,NA,NA,NA,NA
2015,nMDB,QLD Border Rivers,Rice,NA,6,NA,6,NA,NA,NA,NA
2016,nMDB,QLD Border Rivers,Rice,NA,6,NA,6,NA,NA,NA,NA
2017,nMDB,QLD Border Rivers,Rice,NA,6,NA,6,NA,NA,NA,NA
2018,nMDB,QLD Border Rivers,Rice,NA,6,NA,6,NA,NA,NA,NA
2019,nMDB,QLD Border Rivers,Rice,NA,6,NA,6,NA,NA,NA,NA
2020,nMDB,QLD Border Rivers,Rice,NA,6,NA,6,NA,NA,NA,NA
2006,nMDB,QLD Border Rivers,Vegetables,NA,6,NA,6,NA,NA,NA,NA
2007,nMDB,QLD Border Rivers,Vegetables,1757,2,4177,2,NA,NA,NA,NA
2008,nMDB,QLD Border Rivers,Vegetables,2599,2,7326,2,NA,NA,NA,NA
2009,nMDB,QLD Border Rivers,Vegetables,1602,2,7003,2,NA,NA,NA,NA
2010,nMDB,QLD Border Rivers,Vegetables,1200,2,3900,2,NA,NA,NA,NA
2011,nMDB,QLD Border Rivers,Vegetables,1971,1,4607,1,NA,NA,NA,NA
2012,nMDB,QLD Border Rivers,Vegetables,2286,1,7461,1,NA,NA,NA,NA
2013,nMDB,QLD Border Rivers,Vegetables,1475,1,7746,1,NA,NA,NA,NA
2014,nMDB,QLD Border Rivers,Vegetables,1504,1,6044,1,NA,NA,NA,NA
2015,nMDB,QLD Border Rivers,Vegetables,1127,1,4858,1,NA,NA,NA,NA
2016,nMDB,QLD Border Rivers,Vegetables,1186,1,3906,1,NA,NA,NA,NA
2017,nMDB,QLD Border Rivers,Vegetables,1961,1,5062,1,NA,NA,NA,NA
2018,nMDB,QLD Border Rivers,Vegetables,1026,1,3308,1,NA,NA,NA,NA
2019,nMDB,QLD Border Rivers,Vegetables,1204,2,3699,2,NA,NA,NA,NA
2020,nMDB,QLD Border Rivers,Vegetables,820,2,5382,2,NA,NA,NA,NA
2006,nMDB,QLD Condamine-Balonne,All other crops,NA,6,NA,6,NA,NA,NA,NA
2007,nMDB,QLD Condamine-Balonne,All other crops,21120,9,51993,9,NA,NA,NA,NA
2008,nMDB,QLD Condamine-Balonne,All other crops,48500,9,107497,9,NA,NA,NA,NA
2009,nMDB,QLD Condamine-Balonne,All other crops,NA,6,NA,6,NA,NA,NA,NA
2010,nMDB,QLD Condamine-Balonne,All other crops,NA,6,NA,6,NA,NA,NA,NA
2011,nMDB,QLD Condamine-Balonne,All other crops,12398,1,18583,1,NA,NA,NA,NA
2012,nMDB,QLD Condamine-Balonne,All other crops,18048,1,31936,1,NA,NA,NA,NA
2013,nMDB,QLD Condamine-Balonne,All other crops,43000,1,102649,1,NA,NA,NA,NA
2014,nMDB,QLD Condamine-Balonne,All other crops,28513,1,81266,1,NA,NA,NA,NA
2015,nMDB,QLD Condamine-Balonne,All other crops,50966,1,101796,1,NA,NA,NA,NA
2016,nMDB,QLD Condamine-Balonne,All other crops,36319,1,70291,1,NA,NA,NA,NA
2017,nMDB,QLD Condamine-Balonne,All other crops,NA,6,NA,6,NA,NA,NA,NA
2018,nMDB,QLD Condamine-Balonne,All other crops,33913,9,53689,9,NA,NA,NA,NA
2019,nMDB,QLD Condamine-Balonne,All other crops,18951,2,34929,2,NA,NA,NA,NA
2020,nMDB,QLD Condamine-Balonne,All other crops,13716,8,26758,8,NA,NA,NA,NA
2006,nMDB,QLD Condamine-Balonne,Almonds,NA,6,NA,6,NA,27,0,1
2007,nMDB,QLD Condamine-Balonne,Almonds,NA,6,NA,6,NA,NA,NA,6
2008,nMDB,QLD Condamine-Balonne,Almonds,NA,6,NA,6,NA,NA,NA,6
2009,nMDB,QLD Condamine-Balonne,Almonds,NA,6,NA,6,NA,NA,NA,6
2010,nMDB,QLD Condamine-Balonne,Almonds,NA,6,NA,6,NA,NA,NA,6
2011,nMDB,QLD Condamine-Balonne,Almonds,2,1,5,1,NA,34,0,1
2012,nMDB,QLD Condamine-Balonne,Almonds,NA,6,NA,6,NA,NA,NA,6
2013,nMDB,QLD Condamine-Balonne,Almonds,NA,6,NA,6,NA,NA,NA,6
2014,nMDB,QLD Condamine-Balonne,Almonds,NA,6,NA,6,NA,NA,NA,6
2015,nMDB,QLD Condamine-Balonne,Almonds,NA,6,NA,6,NA,NA,NA,6
2016,nMDB,QLD Condamine-Balonne,Almonds,NA,6,NA,6,NA,NA,NA,6
2017,nMDB,QLD Condamine-Balonne,Almonds,NA,6,NA,6,NA,NA,NA,6
2018,nMDB,QLD Condamine-Balonne,Almonds,NA,6,NA,6,NA,NA,NA,6
2019,nMDB,QLD Condamine-Balonne,Almonds,NA,6,NA,6,NA,NA,NA,6
2020,nMDB,QLD Condamine-Balonne,Almonds,NA,6,NA,6,NA,NA,NA,6
2006,nMDB,QLD Condamine-Balonne,Cotton,55485,2,288738,2,NA,NA,NA,NA
2007,nMDB,QLD Condamine-Balonne,Cotton,19333,2,87032,2,NA,NA,NA,NA
2008,nMDB,QLD Condamine-Balonne,Cotton,12864,2,55120,2,NA,NA,NA,NA
2009,nMDB,QLD Condamine-Balonne,Cotton,NA,6,NA,6,NA,NA,NA,NA
2010,nMDB,QLD Condamine-Balonne,Cotton,NA,6,NA,6,NA,NA,NA,NA
2011,nMDB,QLD Condamine-Balonne,Cotton,91526,1,438433,1,NA,NA,NA,NA
2012,nMDB,QLD Condamine-Balonne,Cotton,89668,1,437699,1,NA,NA,NA,NA
2013,nMDB,QLD Condamine-Balonne,Cotton,80625,1,607746,1,NA,NA,NA,NA
2014,nMDB,QLD Condamine-Balonne,Cotton,74611,1,572541,1,NA,NA,NA,NA
2015,nMDB,QLD Condamine-Balonne,Cotton,46870,1,306296,1,NA,NA,NA,NA
2016,nMDB,QLD Condamine-Balonne,Cotton,42964,1,219368,1,NA,NA,NA,NA
2017,nMDB,QLD Condamine-Balonne,Cotton,64320,1,410148,1,NA,NA,NA,NA
2018,nMDB,QLD Condamine-Balonne,Cotton,48047,1,267497,1,NA,NA,NA,NA
2019,nMDB,QLD Condamine-Balonne,Cotton,26137,2,111106,2,NA,NA,NA,NA
2020,nMDB,QLD Condamine-Balonne,Cotton,2884,2,15240,2,NA,NA,NA,NA
2006,nMDB,QLD Condamine-Balonne,Fruit,NA,6,NA,6,NA,NA,NA,NA
2007,nMDB,QLD Condamine-Balonne,Fruit,NA,6,NA,6,NA,NA,NA,NA
2008,nMDB,QLD Condamine-Balonne,Fruit,NA,6,NA,6,NA,NA,NA,NA
2009,nMDB,QLD Condamine-Balonne,Fruit,NA,6,NA,6,NA,NA,NA,NA
2010,nMDB,QLD Condamine-Balonne,Fruit,NA,6,NA,6,NA,NA,NA,NA
2011,nMDB,QLD Condamine-Balonne,Fruit,148,1,439,1,NA,NA,NA,NA
2012,nMDB,QLD Condamine-Balonne,Fruit,57,1,435,1,NA,NA,NA,NA
2013,nMDB,QLD Condamine-Balonne,Fruit,128,1,306,1,NA,NA,NA,NA
2014,nMDB,QLD Condamine-Balonne,Fruit,343,1,383,1,NA,NA,NA,NA
2015,nMDB,QLD Condamine-Balonne,Fruit,507,1,2158,1,NA,NA,NA,NA
2016,nMDB,QLD Condamine-Balonne,Fruit,208,1,169,1,NA,NA,NA,NA
2017,nMDB,QLD Condamine-Balonne,Fruit,25,1,75,1,NA,NA,NA,NA
2018,nMDB,QLD Condamine-Balonne,Fruit,38,1,168,1,NA,NA,NA,NA
2019,nMDB,QLD Condamine-Balonne,Fruit,NA,6,NA,6,NA,NA,NA,NA
2020,nMDB,QLD Condamine-Balonne,Fruit,NA,6,NA,6,NA,NA,NA,NA
2006,nMDB,QLD Condamine-Balonne,Grapevines,702,2,1680,2,NA,NA,NA,NA
2007,nMDB,QLD Condamine-Balonne,Grapevines,702,2,NA,6,NA,NA,NA,NA
2008,nMDB,QLD Condamine-Balonne,Grapevines,NA,6,NA,6,NA,NA,NA,NA
2009,nMDB,QLD Condamine-Balonne,Grapevines,619,2,NA,6,NA,NA,NA,NA
2010,nMDB,QLD Condamine-Balonne,Grapevines,420,2,1180,2,NA,NA,NA,NA
2011,nMDB,QLD Condamine-Balonne,Grapevines,543,1,2332,1,NA,NA,NA,NA
2012,nMDB,QLD Condamine-Balonne,Grapevines,389,1,1430,1,NA,NA,NA,NA
2013,nMDB,QLD Condamine-Balonne,Grapevines,333,1,1656,1,NA,NA,NA,NA
2014,nMDB,QLD Condamine-Balonne,Grapevines,154,1,833,1,NA,NA,NA,NA
2015,nMDB,QLD Condamine-Balonne,Grapevines,202,1,636,1,NA,NA,NA,NA
2016,nMDB,QLD Condamine-Balonne,Grapevines,237,1,1145,1,NA,NA,NA,NA
2017,nMDB,QLD Condamine-Balonne,Grapevines,144,1,760,1,NA,NA,NA,NA
2018,nMDB,QLD Condamine-Balonne,Grapevines,237,1,1503,1,NA,NA,NA,NA
2019,nMDB,QLD Condamine-Balonne,Grapevines,13,2,29,2,NA,NA,NA,NA
2020,nMDB,QLD Condamine-Balonne,Grapevines,19,2,53,2,NA,NA,NA,NA
2006,nMDB,QLD Condamine-Balonne,Pastures - Grazing,8838,2,21932,2,NA,NA,NA,NA
2007,nMDB,QLD Condamine-Balonne,Pastures - Grazing,6460,2,16374,2,NA,NA,NA,NA
2008,nMDB,QLD Condamine-Balonne,Pastures - Grazing,8447,2,23479,2,NA,NA,NA,NA
2009,nMDB,QLD Condamine-Balonne,Pastures - Grazing,NA,6,NA,6,NA,NA,NA,NA
2010,nMDB,QLD Condamine-Balonne,Pastures - Grazing,4917,2,9948,2,NA,NA,NA,NA
2011,nMDB,QLD Condamine-Balonne,Pastures - Grazing,5147,1,8863,1,NA,NA,NA,NA
2012,nMDB,QLD Condamine-Balonne,Pastures - Grazing,3269,1,5810,1,NA,NA,NA,NA
2013,nMDB,QLD Condamine-Balonne,Pastures - Grazing,6027,1,10358,1,NA,NA,NA,NA
2014,nMDB,QLD Condamine-Balonne,Pastures - Grazing,5946,1,12248,1,NA,NA,NA,NA
2015,nMDB,QLD Condamine-Balonne,Pastures - Grazing,10225,1,17004,1,NA,NA,NA,NA
2016,nMDB,QLD Condamine-Balonne,Pastures - Grazing,4087,1,10705,1,NA,NA,NA,NA
2017,nMDB,QLD Condamine-Balonne,Pastures - Grazing,19170,1,37636,1,NA,NA,NA,NA
2018,nMDB,QLD Condamine-Balonne,Pastures - Grazing,3028,1,8245,1,NA,NA,NA,NA
2019,nMDB,QLD Condamine-Balonne,Pastures - Grazing,5786,2,10388,2,NA,NA,NA,NA
2020,nMDB,QLD Condamine-Balonne,Pastures - Grazing,5606,2,16937,2,NA,NA,NA,NA
2006,nMDB,QLD Condamine-Balonne,Pastures - Hay,12755,2,36834,2,NA,NA,NA,NA
2007,nMDB,QLD Condamine-Balonne,Pastures - Hay,9377,2,30410,2,NA,NA,NA,NA
2008,nMDB,QLD Condamine-Balonne,Pastures - Hay,NA,6,NA,6,NA,NA,NA,NA
2009,nMDB,QLD Condamine-Balonne,Pastures - Hay,NA,6,NA,6,NA,NA,NA,NA
2010,nMDB,QLD Condamine-Balonne,Pastures - Hay,NA,6,NA,6,NA,NA,NA,NA
2011,nMDB,QLD Condamine-Balonne,Pastures - Hay,4895,1,14329,1,NA,NA,NA,NA
2012,nMDB,QLD Condamine-Balonne,Pastures - Hay,4131,1,9843,1,NA,NA,NA,NA
2013,nMDB,QLD Condamine-Balonne,Pastures - Hay,4098,1,5777,1,NA,NA,NA,NA
2014,nMDB,QLD Condamine-Balonne,Pastures - Hay,6683,1,15828,1,NA,NA,NA,NA
2015,nMDB,QLD Condamine-Balonne,Pastures - Hay,10297,1,27221,1,NA,NA,NA,NA
2016,nMDB,QLD Condamine-Balonne,Pastures - Hay,6883,1,18253,1,NA,NA,NA,NA
2017,nMDB,QLD Condamine-Balonne,Pastures - Hay,6328,1,19154,1,NA,NA,NA,NA
2018,nMDB,QLD Condamine-Balonne,Pastures - Hay,6497,1,19673,1,NA,NA,NA,NA
2019,nMDB,QLD Condamine-Balonne,Pastures - Hay,8756,2,22199,2,NA,NA,NA,NA
2020,nMDB,QLD Condamine-Balonne,Pastures - Hay,8940,2,29543,2,NA,NA,NA,NA
2006,nMDB,QLD Condamine-Balonne,Rice,NA,6,NA,6,NA,NA,NA,NA
2007,nMDB,QLD Condamine-Balonne,Rice,0,2,0,2,NA,NA,NA,NA
2008,nMDB,QLD Condamine-Balonne,Rice,0,2,0,2,NA,NA,NA,NA
2009,nMDB,QLD Condamine-Balonne,Rice,0,2,0,2,NA,NA,NA,NA
2010,nMDB,QLD Condamine-Balonne,Rice,0,2,0,2,NA,NA,NA,NA
2011,nMDB,QLD Condamine-Balonne,Rice,45,1,305,1,NA,NA,NA,NA
2012,nMDB,QLD Condamine-Balonne,Rice,NA,6,NA,6,NA,NA,NA,NA
2013,nMDB,QLD Condamine-Balonne,Rice,NA,6,NA,6,NA,NA,NA,NA
2014,nMDB,QLD Condamine-Balonne,Rice,550,1,6050,1,NA,NA,NA,NA
2015,nMDB,QLD Condamine-Balonne,Rice,NA,6,NA,6,NA,NA,NA,NA
2016,nMDB,QLD Condamine-Balonne,Rice,NA,6,NA,6,NA,NA,NA,NA
2017,nMDB,QLD Condamine-Balonne,Rice,NA,6,NA,6,NA,NA,NA,NA
2018,nMDB,QLD Condamine-Balonne,Rice,NA,6,NA,6,NA,NA,NA,NA
2019,nMDB,QLD Condamine-Balonne,Rice,NA,6,NA,6,NA,NA,NA,NA
2020,nMDB,QLD Condamine-Balonne,Rice,NA,6,NA,6,NA,NA,NA,NA
2006,nMDB,QLD Condamine-Balonne,Vegetables,NA,6,NA,6,NA,NA,NA,NA
2007,nMDB,QLD Condamine-Balonne,Vegetables,2242,2,5191,2,NA,NA,NA,NA
2008,nMDB,QLD Condamine-Balonne,Vegetables,NA,6,NA,6,NA,NA,NA,NA
2009,nMDB,QLD Condamine-Balonne,Vegetables,NA,6,NA,6,NA,NA,NA,NA
2010,nMDB,QLD Condamine-Balonne,Vegetables,1939,2,6777,2,NA,NA,NA,NA
2011,nMDB,QLD Condamine-Balonne,Vegetables,2138,1,3304,1,NA,NA,NA,NA
2012,nMDB,QLD Condamine-Balonne,Vegetables,1704,1,3482,1,NA,NA,NA,NA
2013,nMDB,QLD Condamine-Balonne,Vegetables,691,1,1742,1,NA,NA,NA,NA
2014,nMDB,QLD Condamine-Balonne,Vegetables,1446,1,2911,1,NA,NA,NA,NA
2015,nMDB,QLD Condamine-Balonne,Vegetables,1924,1,2426,1,NA,NA,NA,NA
2016,nMDB,QLD Condamine-Balonne,Vegetables,1886,1,4312,1,NA,NA,NA,NA
2017,nMDB,QLD Condamine-Balonne,Vegetables,1615,1,3804,1,NA,NA,NA,NA
2018,nMDB,QLD Condamine-Balonne,Vegetables,1822,1,2704,1,NA,NA,NA,NA
2019,nMDB,QLD Condamine-Balonne,Vegetables,924,2,2265,2,NA,NA,NA,NA
2020,nMDB,QLD Condamine-Balonne,Vegetables,890,2,2736,2,NA,NA,NA,NA
2006,nMDB,QLD Moonie,All other crops,NA,6,NA,6,NA,NA,NA,NA
2007,nMDB,QLD Moonie,All other crops,1959,9,7411,9,NA,NA,NA,NA
2008,nMDB,QLD Moonie,All other crops,20375,9,70743,9,NA,NA,NA,NA
2009,nMDB,QLD Moonie,All other crops,17914,2,68891,2,NA,NA,NA,NA
2010,nMDB,QLD Moonie,All other crops,NA,6,NA,6,NA,NA,NA,NA
2011,nMDB,QLD Moonie,All other crops,253,9,764,9,NA,NA,NA,NA
2012,nMDB,QLD Moonie,All other crops,3351,1,9810,1,NA,NA,NA,NA
2013,nMDB,QLD Moonie,All other crops,2287,9,11217,9,NA,NA,NA,NA
2014,nMDB,QLD Moonie,All other crops,165,9,214,9,NA,NA,NA,NA
2015,nMDB,QLD Moonie,All other crops,156,9,354,9,NA,NA,NA,NA
2016,nMDB,QLD Moonie,All other crops,228,9,267,9,NA,NA,NA,NA
2017,nMDB,QLD Moonie,All other crops,152,9,132,9,NA,NA,NA,NA
2018,nMDB,QLD Moonie,All other crops,NA,6,NA,6,NA,NA,NA,NA
2019,nMDB,QLD Moonie,All other crops,418,2,943,2,NA,NA,NA,NA
2020,nMDB,QLD Moonie,All other crops,799,8,1593,8,NA,NA,NA,NA
2006,nMDB,QLD Moonie,Almonds,NA,6,NA,6,NA,NA,NA,6
2007,nMDB,QLD Moonie,Almonds,NA,6,NA,6,NA,NA,NA,6
2008,nMDB,QLD Moonie,Almonds,NA,6,NA,6,NA,NA,NA,6
2009,nMDB,QLD Moonie,Almonds,NA,6,NA,6,NA,NA,NA,6
2010,nMDB,QLD Moonie,Almonds,NA,6,NA,6,NA,NA,NA,6
2011,nMDB,QLD Moonie,Almonds,NA,6,NA,6,NA,NA,NA,6
2012,nMDB,QLD Moonie,Almonds,NA,6,NA,6,NA,NA,NA,6
2013,nMDB,QLD Moonie,Almonds,NA,6,NA,6,NA,NA,NA,6
2014,nMDB,QLD Moonie,Almonds,NA,6,NA,6,NA,NA,NA,6
2015,nMDB,QLD Moonie,Almonds,NA,6,NA,6,NA,NA,NA,6
2016,nMDB,QLD Moonie,Almonds,NA,6,NA,6,NA,NA,NA,6
2017,nMDB,QLD Moonie,Almonds,NA,6,NA,6,NA,NA,NA,6
2018,nMDB,QLD Moonie,Almonds,NA,6,NA,6,NA,NA,NA,6
2019,nMDB,QLD Moonie,Almonds,NA,6,NA,6,NA,NA,NA,6
2020,nMDB,QLD Moonie,Almonds,NA,6,NA,6,NA,NA,NA,6
2006,nMDB,QLD Moonie,Cotton,3276,2,23077,2,NA,NA,NA,NA
2007,nMDB,QLD Moonie,Cotton,668,2,5298,2,NA,NA,NA,NA
2008,nMDB,QLD Moonie,Cotton,506,2,3319,2,NA,NA,NA,NA
2009,nMDB,QLD Moonie,Cotton,2415,2,15869,2,NA,NA,NA,NA
2010,nMDB,QLD Moonie,Cotton,NA,6,12267,2,NA,NA,NA,NA
2011,nMDB,QLD Moonie,Cotton,6976,1,47525,1,NA,NA,NA,NA
2012,nMDB,QLD Moonie,Cotton,4446,1,34124,1,NA,NA,NA,NA
2013,nMDB,QLD Moonie,Cotton,2200,1,19000,1,NA,NA,NA,NA
2014,nMDB,QLD Moonie,Cotton,2129,1,18752,1,NA,NA,NA,NA
2015,nMDB,QLD Moonie,Cotton,497,1,4858,1,NA,NA,NA,NA
2016,nMDB,QLD Moonie,Cotton,704,1,5821,1,NA,NA,NA,NA
2017,nMDB,QLD Moonie,Cotton,3108,1,19395,1,NA,NA,NA,NA
2018,nMDB,QLD Moonie,Cotton,2027,1,17519,1,NA,NA,NA,NA
2019,nMDB,QLD Moonie,Cotton,504,2,4173,2,NA,NA,NA,NA
2020,nMDB,QLD Moonie,Cotton,73,2,487,2,NA,NA,NA,NA
2006,nMDB,QLD Moonie,Fruit,NA,6,NA,6,NA,NA,NA,NA
2007,nMDB,QLD Moonie,Fruit,NA,6,NA,6,NA,NA,NA,NA
2008,nMDB,QLD Moonie,Fruit,NA,6,NA,6,NA,NA,NA,NA
2009,nMDB,QLD Moonie,Fruit,NA,6,NA,6,NA,NA,NA,NA
2010,nMDB,QLD Moonie,Fruit,NA,6,NA,6,NA,NA,NA,NA
2011,nMDB,QLD Moonie,Fruit,NA,6,NA,6,NA,NA,NA,NA
2012,nMDB,QLD Moonie,Fruit,NA,6,NA,6,NA,NA,NA,NA
2013,nMDB,QLD Moonie,Fruit,NA,6,NA,6,NA,NA,NA,NA
2014,nMDB,QLD Moonie,Fruit,NA,6,NA,6,NA,NA,NA,NA
2015,nMDB,QLD Moonie,Fruit,NA,6,NA,6,NA,NA,NA,NA
2016,nMDB,QLD Moonie,Fruit,NA,6,NA,6,NA,NA,NA,NA
2017,nMDB,QLD Moonie,Fruit,NA,6,NA,6,NA,NA,NA,NA
2018,nMDB,QLD Moonie,Fruit,NA,6,NA,6,NA,NA,NA,NA
2019,nMDB,QLD Moonie,Fruit,NA,6,NA,6,NA,NA,NA,NA
2020,nMDB,QLD Moonie,Fruit,NA,6,NA,6,NA,NA,NA,NA
2006,nMDB,QLD Moonie,Grapevines,29,2,59,2,NA,NA,NA,NA
2007,nMDB,QLD Moonie,Grapevines,29,2,45,2,NA,NA,NA,NA
2008,nMDB,QLD Moonie,Grapevines,NA,6,NA,6,NA,NA,NA,NA
2009,nMDB,QLD Moonie,Grapevines,26,2,108,2,NA,NA,NA,NA
2010,nMDB,QLD Moonie,Grapevines,17,2,49,2,NA,NA,NA,NA
2011,nMDB,QLD Moonie,Grapevines,NA,6,NA,6,NA,NA,NA,NA
2012,nMDB,QLD Moonie,Grapevines,57,1,180,1,NA,NA,NA,NA
2013,nMDB,QLD Moonie,Grapevines,NA,6,NA,6,NA,NA,NA,NA
2014,nMDB,QLD Moonie,Grapevines,NA,6,NA,6,NA,NA,NA,NA
2015,nMDB,QLD Moonie,Grapevines,NA,6,NA,6,NA,NA,NA,NA
